FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"983dd744cc39da46af25c0cf331c8714aab6f79be7aa8b9a08104163.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
"d74ae483df71b9e30f805e7a89adba8b9ace940e5aa0d8681d025ddd.js",4,2,0,0,1,1,0,-1,-1,0.0,0,0
"6dcc08cf9313345eb61243c0ba28e2b8610eac34716ab5d4b98d52a6.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"70b3d6ab6352fb4c3ea7b36a7ab8e60a789c4669c761b6857fc7d1d7.js",2,2,1,0,0,2,0,-1,-1,0.0,0,0
"89a62c6084a5a715b93bfc982caf2772d5fd9779b00a98566499ef7d.py",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"31782a55998cc432f0a27775239061b77219725af6939f1811e30c2f.py",4,4,3,0,0,1,3,-1,-1,0.0,0,0
"25e0cca5d3d6814dae62842833cd9d489466f69f92da7cc0e4122b63.py",2,2,1,0,0,1,1,-1,-1,0.0,0,0
"7aece56b8a3f49af3d4cf46ee26bcde2a8c9efe86d3e8f73c4ca8451.py",4,4,3,0,0,1,3,-1,-1,0.0,0,0
"267c7107cf33ed65fd71093d7c5a402d8f0deda3616be25a3d09a922.py",4,4,3,0,0,1,3,-1,-1,0.0,0,0
"616d72372c54cfc252ed18ca446cf2be5131905f1150fc4b1d105826.py",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"f655797ea2d1ae3d34f0d27d29d563857470156dc201cceaf18c9154.py",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"2612f50e442acfae3d3804a9668d1a4c497dd463d0e330bf6734a615.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"0c0788d7a4fd774dd2ff5782c3daf0b5b6065d36d7f9ccc23b7a0104.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"7f03d825617ae1e0592983781e3ddb229584942272216f465343706a.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"3fc1f08f583cab89812ed588db74b91a38e5ac698cd0e9fe7b0ec9e3.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"bf09641b7306258ed3bb1827363aa57375c29fedf5da2c1258331b36.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"6e66f9da2270ca1ad52080bcfc4d86e3e965c146e56504e24bae1d57.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
